Strike,Tenor,Alpha,Beta,Nu,Rho,Strike_0,Nu_0,FDM_vol,Hagan_vol
-0.5,16,0.05,0.45,4,0.05,0.9048374180359595,1.0,0.0543776251543778,0.16122530023949438
-0.25,10,0.03,0.001,5,-0.15,0.9765619571935622,1.5811388300841895,0.028209694930972862,0.11442981423388776
-0.5,3,0.06,0.3,0.5,0.4,0.9493653937075048,0.2886751345948129,0.059793352205085554,0.0596577022046687
0.75,4,0.001,0.05,1.5,0.3,1.001501125562711,0.75,0.0013741086423442992,0.0014819422128701902
1.75,9,0.08,0.5,4,0.3,1.5219615556186339,1.3333333333333333,0.14179820979872862,0.48435650354268245
-1.5,3,0.07,0.15,3.5,0.3,0.8337136050702557,2.0207259421636903,0.11857030495343533,0.268990624434819
1,1.5,0.08,0.4,3,0,1.1029402735494027,2.4494897427831783,0.12194251336015592,0.22745798362817338
-0.75,14,0.09,0.4,5,0.1,0.7768081474301228,1.3363062095621219,0.09176765387608665,0.5086983805375762
1.5,6,0.03,0.001,2,0,1.1165315372463829,0.8164965809277261,0.04952472278245177,0.06412031104988511
1.25,10,0.09,0.4,4.5,0.15,1.4272595924463385,1.4230249470757705,0.12051828470874501,0.5537677676608016
1.75,12,0.06,0.25,5,0.2,1.4386866798988789,1.4433756729740645,0.0962784484595924,0.5477394786026267
1.5,30,0.04,0.05,2.5,-0.1,1.3890687165449251,0.45643546458763845,0.05817286543997,0.09977619317028558
-0.75,3,0.03,0.1,0.5,-0.1,0.9617784626232314,0.2886751345948129,0.03229197207127074,0.03237205249892296
0.5,1,0.001,0.3,2.5,-0.3,1.0005001250208359,2.5,0.001239478900902034,0.0015259917581549986
0.25,0.5,0.09,0.5,3.5,0.4,1.0160371389539073,4.949747468305833,0.11502524210686849,0.19781440731524963
0.75,8,0.09,0.35,3,-0.15,1.2103612041890415,1.0606601717798212,0.10178692528959934,0.2031989098991691
-0.25,21,0.001,0.45,0.1,0.05,0.9988550120757231,0.021821789023599242,0.0009943695171965312,0.001000626852589578
-1.25,0.5,0.001,0.3,1.5,0.1,0.9991165070334532,2.1213203435596424,0.0013910533592179745,0.0015397216164738054
-0.25,8,0.001,0.2,2,-0.15,0.9992931431598983,0.7071067811865475,0.001253889673315049,0.0014179199118363982
-1.25,1.5,0.02,0.001,1.5,0.2,0.9698453804535321,1.2247448713915892,0.027327112527583807,0.029531378345398353
0.75,7,0.09,0.45,3,0.05,1.1955283403575392,1.1338934190276817,0.11316492032051631,0.2264688419686626
-2,5,0.08,0.25,0.1,0.15,0.699233267497397,0.044721359549995794,0.09066884227538749,0.09065553665860097
-2,1,0.02,0.45,2.5,0,0.9607894391523232,2.5,0.042072098417334114,0.06607455556791324
0.25,0.5,0.06,0.5,5,0.4,1.0106630511200447,7.071067811865475,0.06752611700772447,0.20948200832157587
2,9,0.05,0.1,3,0.35,1.3498588075760032,1.0,0.10086330900311202,0.20364538348358685
0.75,27,0.01,0.05,5,0.4,1.0397404796032967,0.9622504486493763,0.013785885963385838,0.05360334965767902
-0.5,1,0.09,0.05,2,0.35,0.9559974818331,2.0,0.10728495992056664,0.11521922018056309
-0.5,4,0.06,0.45,2,0,0.9417645335842487,1.0,0.07763189584646095,0.09198873622739227
1.5,2,0.05,0.001,4,-0.3,1.1118952782720988,2.82842712474619,0.07942252374050938,0.22640452939918546
-0.25,2,0.08,0.3,1.5,-0.3,0.9721119840328972,1.0606601717798212,0.0948696569702028,0.10039916250893864
-1.25,4,0.08,0.1,3,0.35,0.8187307530779818,1.5,0.12185906109948934,0.21348581788301638
-1,14,0.08,0.35,3,0.35,0.7413128145024339,0.8017837257372732,0.10577476030978719,0.19463334843912095
0,10,0.07,0.001,4,0.25,1.0,1.2649110640673518,0.06221116600607412,0.15472983809971705
1.5,30,0.01,0.35,0.5,0.4,1.085627741871579,0.09128709291752768,0.011800771599528805,0.011902553478950924
-2,24,0.09,0.35,1,0.05,0.4140302221735817,0.20412414523193154,0.14798604012480737,0.1590494305897983
0.5,4,0.01,0.25,1.5,0.05,1.010050167084168,0.75,0.01223089373802309,0.012983674381037872
-1.25,8,0.01,0.2,4.5,-0.2,0.965262359891545,1.590990257669732,0.018008944925655242,0.06415128879694655
2,30,0.05,0.45,4.5,0.1,1.7293101253499221,0.8215838362577491,0.0828145454588358,0.40546526674773126
-0.5,14,0.04,0.05,1,0.35,0.9278982953448999,0.2672612419124244,0.042519035026510034,0.042229170871440236
-1,1,0.06,0.15,1.5,0.35,0.9417645335842487,1.5,0.07333453047627371,0.07564525721205055
0.5,1.5,0.05,0.25,0.1,0.4,1.0310921927909442,0.08164965809277261,0.04998531941624336,0.04998715184826542
-0.25,30,0.05,0.05,2.5,-0.3,0.9338258449134811,0.45643546458763845,0.055402770426086226,0.08471526539085827
0.75,18,0.001,0.25,5,0.15,1.0031870483892058,1.1785113019775793,0.0015504727125463906,0.005851163055400274
2,1.5,0.03,0.45,2,0.4,1.0762520615843478,1.6329931618554523,0.06207172858681378,0.08076250475331748
-0.5,5,0.08,0.1,4.5,0.2,0.914440643607217,2.0124611797498106,0.08150544145828964,0.2831392397807234
0.5,2,0.04,0.25,3,0.15,1.0286880693018583,2.1213203435596424,0.05579416280940701,0.09069256930617797
0.5,10,0.04,0.2,0.5,0.4,1.0652883920946086,0.15811388300841897,0.0418853344052493,0.041998847688097384
-1.5,14,0.08,0.1,0.1,-0.35,0.6382668094590757,0.02672612419124244,0.10004518037104798,0.10000946615221162
0.75,10,0.05,0.3,3,-0.2,1.1259030359139168,0.9486832980505138,0.060344541184648895,0.11055213706800791
0.25,8,0.06,0.4,2,-0.2,1.0433392709469165,0.7071067811865475,0.06634967008514898,0.07679745123489184
-1.25,18,0.001,0.3,2,-0.35,0.9947107368148022,0.47140452079103173,0.0017020749863246583,0.002170719561847725
-1,10,0.04,0.3,4,-0.35,0.8811819863828458,1.2649110640673518,0.058731655307771156,0.1808578332040349
1.75,6,0.08,0.35,3,-0.4,1.4090681001276633,1.2247448713915892,0.11208958511019379,0.22355547793051367
-2,8,0.07,0.45,2,-0.35,0.6730202925164175,0.7071067811865475,0.13997750842752033,0.19736366127199895
1.25,16,0.08,0.5,1,0.15,1.4918246976412703,0.25,0.09686792819155494,0.10135644015965004
0.75,5,0.001,0.5,0.5,-0.05,1.0016784580195721,0.22360679774997896,0.0010153404740063914,0.0010342258806976673
-0.5,24,0.03,0.5,0.5,0.25,0.9291503688530943,0.10206207261596577,0.03060388545983051,0.030554746768969163
-1.25,16,0.02,0.001,3,-0.4,0.9048374180359595,0.75,0.03643364304324028,0.06735236152080758
0.25,30,0.001,0.1,0.5,0.4,1.0013702443218178,0.09128709291752768,0.0010591836201390983,0.0010425108388976518
-0.75,21,0.001,0.35,5,0.25,0.9965689677181336,1.091089451179962,0.0014456697461254712,0.00481197002039105
-1.25,10,0.03,0.001,5,-0.4,0.8881759513049728,1.5811388300841895,0.04680741396096587,0.21997463173167753
0,27,0.02,0.3,5,0.2,1.0,0.9622504486493763,0.017445025617131696,0.05932696123934786
0,2,0.08,0.45,4,-0.35,1.0,2.82842712474619,0.07299822295021693,0.16565404606246126
-1.25,5,0.01,0.25,0.5,-0.2,0.9724361611375049,0.22360679774997896,0.011356296036201714,0.011432534803624411
-1.75,4,0.01,0.35,1.5,0.35,0.9656054162575665,0.75,0.01427771089142338,0.015347566310513806
-0.5,16,0.05,0.4,3.5,-0.15,0.9048374180359595,0.875,0.057814590402746086,0.14027355251615453
-1,7,0.02,0.5,2.5,0.15,0.9484606033396165,0.944911182523068,0.031089961176932038,0.04330139885315662
-1,3,0.09,0.25,1.5,-0.3,0.8556579509741647,0.8660254037844387,0.13327295251620444,0.15028839660312748
-0.75,12,0.03,0.3,0.1,-0.4,0.9250178111659065,0.02886751345948129,0.03130800176599684,0.03131285165366057
-1.5,7,0.001,0.4,2,-0.35,0.996039237626085,0.7559289460184544,0.0018536143331735276,0.00235540317680348
-1.75,8,0.08,0.25,5,0.3,0.6730202925164175,1.7677669529663687,0.1252737337401176,0.6501283348681727
1,14,0.001,0.3,1,0.25,1.0037486661254806,0.2672612419124244,0.0012746893665626906,0.001314318390504796
-0.5,10,0.01,0.35,4.5,0.2,0.9843129554872655,1.4230249470757705,0.012663330942456821,0.03463376242729303
-1.5,0.5,0.01,0.35,5,0.05,0.9894494499346467,7.071067811865475,0.019805740985551826,0.08376988995137327
-0.75,24,0.08,0.001,1.5,0.2,0.745322126765414,0.3061862178478973,0.10181873079658377,0.11481494606641171
0.25,4,0.02,0.3,2.5,0.05,1.010050167084168,1.25,0.025650114952354672,0.03248879489209459
1.25,12,0.03,0.15,2.5,0,1.1387188453371866,0.7216878364870323,0.047916814786130406,0.0746260144783747
0,2,0.06,0.001,5,-0.4,1.0,3.5355339059327373,0.04847966326984303,0.1550154184335877
-1.75,8,0.07,0.25,5,0.3,0.7071713199987875,1.7677669529663687,0.11143973801612922,0.5649995931892836
0.75,14,0.02,0.1,5,0.35,1.0577297444756157,1.3363062095621219,0.026486851009296854,0.11023795737598627
-1.25,4,0.08,0.4,3.5,-0.1,0.8187307530779818,1.75,0.1284301732736241,0.34103703642985245
-0.5,30,0.05,0.4,3.5,-0.1,0.8720307086283767,0.6390096504226938,0.05500510010338322,0.14034850467741666
-1.75,10,0.06,0.5,0.5,-0.2,0.7174592306778416,0.15811388300841897,0.07602882108747142,0.07655716453328416
1.25,5,0.06,0.3,2,-0.3,1.1825878120782778,0.8944271909999159,0.07980026549312624,0.0989607234915819
1,6,0.02,0.4,2,-0.3,1.0502096331444513,0.8164965809277261,0.026618257253522983,0.03085669215926616
1.75,7,0.02,0.4,4.5,-0.4,1.0970242599780504,1.7008401285415224,0.03323184809560624,0.11020964327067324
-2,16,0.08,0.5,3,-0.4,0.5272924240430485,0.75,0.15144377455525132,0.3497412598344825
